TREE_NUMBER, SAMPLE_SIZE, FEATURES_PER_TREE, MIN_SAMPLES_PER_NODE, NODE_LIMIT, ALLOW_REPEAT_SAMPLES, TP , TN, FP, FN, err     , acc     , pre     , rec     , F1
212,103,109,20,50,0,112,18,20,2,0.144737,0.855263,0.848485,0.982456,0.910569
24,451,113,90,50,0,107,24,14,7,0.138158,0.861842,0.884298,0.938596,0.910638
24,451,113,90,50,0,106,20,18,8,0.171053,0.828947,0.854839,0.929825,0.890756
24,451,113,90,50,0,106,23,15,8,0.151316,0.848684,0.876033,0.929825,0.902128
24,451,113,90,50,0,105,25,13,9,0.144737,0.855263,0.889831,0.921053,0.905172
24,451,113,90,50,0,108,24,14,6,0.131579,0.868421,0.885246,0.947368,0.915254
24,451,113,90,50,0,108,21,17,6,0.151316,0.848684,0.864000,0.947368,0.903766
24,451,113,90,50,0,108,23,15,6,0.138158,0.861842,0.878049,0.947368,0.911392
24,451,113,90,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
24,451,113,90,50,0,108,24,14,6,0.131579,0.868421,0.885246,0.947368,0.915254
24,451,113,90,50,0,106,23,15,8,0.151316,0.848684,0.876033,0.929825,0.902128
24,451,113,90,50,0,105,26,12,9,0.138158,0.861842,0.897436,0.921053,0.909091
106,301,109,60,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
106,301,109,60,50,0,109,23,15,5,0.131579,0.868421,0.879032,0.956140,0.915966
106,301,109,60,50,0,111,19,19,3,0.144737,0.855263,0.853846,0.973684,0.909836
106,301,109,60,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
106,301,109,60,50,0,107,22,16,7,0.151316,0.848684,0.869919,0.938596,0.902954
106,301,109,60,50,0,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
106,301,109,60,50,0,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
106,301,109,60,50,0,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
106,301,109,60,50,0,107,22,16,7,0.151316,0.848684,0.869919,0.938596,0.902954
106,301,109,60,50,0,109,22,16,5,0.138158,0.861842,0.872000,0.956140,0.912134
106,301,109,60,50,0,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
33,363,115,72,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
33,363,115,72,50,0,113,22,16,1,0.111842,0.888158,0.875969,0.991228,0.930041
33,363,115,72,50,0,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
33,363,115,72,50,0,108,19,19,6,0.164474,0.835526,0.850394,0.947368,0.896266
33,363,115,72,50,0,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
33,363,115,72,50,0,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
33,363,115,72,50,0,110,23,15,4,0.125000,0.875000,0.880000,0.964912,0.920502
33,363,115,72,50,0,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
33,363,115,72,50,0,108,18,20,6,0.171053,0.828947,0.843750,0.947368,0.892562
33,363,115,72,50,0,104,22,16,10,0.171053,0.828947,0.866667,0.912281,0.888889
33,363,115,72,50,0,113,21,17,1,0.118421,0.881579,0.869231,0.991228,0.926230
89,196,105,39,50,0,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
89,196,105,39,50,0,112,19,19,2,0.138158,0.861842,0.854962,0.982456,0.914286
89,196,105,39,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
89,196,105,39,50,0,109,19,19,5,0.157895,0.842105,0.851563,0.956140,0.900826
89,196,105,39,50,0,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
89,196,105,39,50,0,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
89,196,105,39,50,0,110,19,19,4,0.151316,0.848684,0.852713,0.964912,0.905350
89,196,105,39,50,0,110,18,20,4,0.157895,0.842105,0.846154,0.964912,0.901639
89,196,105,39,50,0,111,18,20,3,0.151316,0.848684,0.847328,0.973684,0.906122
89,196,105,39,50,0,112,20,18,2,0.131579,0.868421,0.861538,0.982456,0.918033
89,196,105,39,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
26,322,84,64,50,0,109,23,15,5,0.131579,0.868421,0.879032,0.956140,0.915966
26,322,84,64,50,0,109,20,18,5,0.151316,0.848684,0.858268,0.956140,0.904564
26,322,84,64,50,0,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
26,322,84,64,50,0,107,20,18,7,0.164474,0.835526,0.856000,0.938596,0.895397
26,322,84,64,50,0,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
26,322,84,64,50,0,110,19,19,4,0.151316,0.848684,0.852713,0.964912,0.905350
26,322,84,64,50,0,104,24,14,10,0.157895,0.842105,0.881356,0.912281,0.896552
26,322,84,64,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
26,322,84,64,50,0,108,23,15,6,0.138158,0.861842,0.878049,0.947368,0.911392
26,322,84,64,50,0,108,20,18,6,0.157895,0.842105,0.857143,0.947368,0.900000
26,322,84,64,50,0,106,21,17,8,0.164474,0.835526,0.861789,0.929825,0.894515
20,300,125,60,50,0,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
20,300,125,60,50,0,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
20,300,125,60,50,0,104,22,16,10,0.171053,0.828947,0.866667,0.912281,0.888889
20,300,125,60,50,0,112,21,17,2,0.125000,0.875000,0.868217,0.982456,0.921811
20,300,125,60,50,0,110,24,14,4,0.118421,0.881579,0.887097,0.964912,0.924370
20,300,125,60,50,0,106,24,14,8,0.144737,0.855263,0.883333,0.929825,0.905983
20,300,125,60,50,0,106,22,16,8,0.157895,0.842105,0.868852,0.929825,0.898305
20,300,125,60,50,0,107,22,16,7,0.151316,0.848684,0.869919,0.938596,0.902954
20,300,125,60,50,0,106,23,15,8,0.151316,0.848684,0.876033,0.929825,0.902128
20,300,125,60,50,0,109,21,17,5,0.144737,0.855263,0.865079,0.956140,0.908333
20,300,125,60,50,0,105,23,15,9,0.157895,0.842105,0.875000,0.921053,0.897436
20,300,125,60,50,0,109,25,13,5,0.118421,0.881579,0.893443,0.956140,0.923729
20,300,125,60,50,0,107,22,16,7,0.151316,0.848684,0.869919,0.938596,0.902954
20,300,125,60,50,0,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
20,300,125,60,50,0,108,21,17,6,0.151316,0.848684,0.864000,0.947368,0.903766
20,300,125,60,50,0,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
20,300,125,60,50,0,109,21,17,5,0.144737,0.855263,0.865079,0.956140,0.908333
20,300,125,60,50,0,112,21,17,2,0.125000,0.875000,0.868217,0.982456,0.921811
20,300,125,60,50,0,105,23,15,9,0.157895,0.842105,0.875000,0.921053,0.897436
20,300,125,60,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
20,300,125,60,50,0,105,23,15,9,0.157895,0.842105,0.875000,0.921053,0.897436
20,300,125,60,50,0,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
22,297,122,59,50,0,110,23,15,4,0.125000,0.875000,0.880000,0.964912,0.920502
3,100,100,100,100,0,95,18,20,19,0.256579,0.743421,0.826087,0.833333,0.829694
3,100,100,100,100,0,109,19,19,5,0.157895,0.842105,0.851563,0.956140,0.900826
3,603,750,604,50,0,89,22,16,25,0.269737,0.730263,0.847619,0.780702,0.812785
20,603,750,604,50,0,89,22,16,25,0.269737,0.730263,0.847619,0.780702,0.812785
20,603,750,604,50,0,0,38,0,114,0.750000,0.250000,-1.#IND00,0.000000,-1.#IND00
20,603,750,604,50,0,0,38,0,114,0.750000,0.250000,-1.#IND00,0.000000,-1.#IND00
20,603,750,604,50,0,0,38,0,114,0.750000,0.250000,-1.#IND00,0.000000,-1.#IND00
22,122,297,59,50,0,0,38,0,114,0.750000,0.250000,-1.#IND00,0.000000,-1.#IND00
22,122,297,59,50,0,107,21,17,7,0.157895,0.842105,0.862903,0.938596,0.899160
22,122,297,59,50,0,109,20,18,5,0.151316,0.848684,0.858268,0.956140,0.904564
22,122,297,59,50,0,109,18,20,5,0.164474,0.835526,0.844961,0.956140,0.897119
22,122,297,59,50,0,106,20,18,8,0.171053,0.828947,0.854839,0.929825,0.890756
